year,state_orig,state_dest,sctg2,sctg2_description,value
2012,AK,CA,5,"Meat, poultry, fish, seafood, and preparations",10.10
2017,AK,CA,5,"Meat, poultry, fish, seafood, and preparations",10.00
2012,AK,MA,5,"Meat, poultry, fish, seafood, and preparations",1.84
2017,AK,MA,5,"Meat, poultry, fish, seafood, and preparations",1.82
2012,AK,MD,5,"Meat, poultry, fish, seafood, and preparations",0.41
2017,AK,MD,5,"Meat, poultry, fish, seafood, and preparations",0.41
2012,AK,MN,5,"Meat, poultry, fish, seafood, and preparations",0.06
2017,AK,MN,5,"Meat, poultry, fish, seafood, and preparations",0.06
2012,AK,MO,5,"Meat, poultry, fish, seafood, and preparations",0.95
2017,AK,MO,5,"Meat, poultry, fish, seafood, and preparations",0.94
2012,AK,MT,6,Milled grain products and preparations and bakery products,0.38
2017,AK,MT,6,Milled grain products and preparations and bakery products,0.36
2012,AK,OR,5,"Meat, poultry, fish, seafood, and preparations",145.02
2017,AK,OR,5,"Meat, poultry, fish, seafood, and preparations",143.61
2012,AK,TX,5,"Meat, poultry, fish, seafood, and preparations",0.90
2017,AK,TX,5,"Meat, poultry, fish, seafood, and preparations",0.89
2012,AK,WA,5,"Meat, poultry, fish, seafood, and preparations",727.14
2017,AK,WA,5,"Meat, poultry, fish, seafood, and preparations",720.02
2012,AK,WA,7,Other prepared foodstuffs and preparations,14.05
2017,AK,WA,7,Other prepared foodstuffs and preparations,13.22
2012,AK,WI,5,"Meat, poultry, fish, seafood, and preparations",0.22
2017,AK,WI,5,"Meat, poultry, fish, seafood, and preparations",0.22
2012,AL,AR,3,"Agricultural products (excl. feed, grains, and forage)",2.99
2017,AL,AR,3,"Agricultural products (excl. feed, grains, and forage)",3.07
2012,AL,AR,5,"Meat, poultry, fish, seafood, and preparations",333.74
2017,AL,AR,5,"Meat, poultry, fish, seafood, and preparations",342.43
2012,AL,AR,6,Milled grain products and preparations and bakery products,5.09
2017,AL,AR,6,Milled grain products and preparations and bakery products,4.98
2012,AL,AR,7,Other prepared foodstuffs and preparations,124.85
2017,AL,AR,7,Other prepared foodstuffs and preparations,121.68
2012,AL,AZ,5,"Meat, poultry, fish, seafood, and preparations",35.25
2017,AL,AZ,5,"Meat, poultry, fish, seafood, and preparations",36.17
2012,AL,AZ,7,Other prepared foodstuffs and preparations,14.12
2017,AL,AZ,7,Other prepared foodstuffs and preparations,13.76
2012,AL,CA,5,"Meat, poultry, fish, seafood, and preparations",532.15
2017,AL,CA,5,"Meat, poultry, fish, seafood, and preparations",546.00
2012,AL,CA,7,Other prepared foodstuffs and preparations,35.28
2017,AL,CA,7,Other prepared foodstuffs and preparations,34.38
2012,AL,CO,5,"Meat, poultry, fish, seafood, and preparations",35.06
2017,AL,CO,5,"Meat, poultry, fish, seafood, and preparations",35.98
2012,AL,CO,7,Other prepared foodstuffs and preparations,59.11
2017,AL,CO,7,Other prepared foodstuffs and preparations,57.61
2012,AL,CT,5,"Meat, poultry, fish, seafood, and preparations",83.04
2017,AL,CT,5,"Meat, poultry, fish, seafood, and preparations",85.20
2012,AL,CT,7,Other prepared foodstuffs and preparations,6.89
2017,AL,CT,7,Other prepared foodstuffs and preparations,6.71
2012,AL,DC,5,"Meat, poultry, fish, seafood, and preparations",2.15
2017,AL,DC,5,"Meat, poultry, fish, seafood, and preparations",2.21
2012,AL,DE,5,"Meat, poultry, fish, seafood, and preparations",33.62
2017,AL,DE,5,"Meat, poultry, fish, seafood, and preparations",34.50
2012,AL,DE,7,Other prepared foodstuffs and preparations,1.46
2017,AL,DE,7,Other prepared foodstuffs and preparations,1.42
2012,AL,FL,1,Animals & fish (live),24.96
2017,AL,FL,1,Animals & fish (live),26.46
2012,AL,FL,2,Cereal grains and seed,10.32
2017,AL,FL,2,Cereal grains and seed,10.15
2012,AL,FL,3,"Agricultural products (excl. feed, grains, and forage)",47.14
2017,AL,FL,3,"Agricultural products (excl. feed, grains, and forage)",48.42
2012,AL,FL,4,"Animal feed, eggs, honey, other products of animal origin",6.90
2017,AL,FL,4,"Animal feed, eggs, honey, other products of animal origin",7.60
2012,AL,FL,5,"Meat, poultry, fish, seafood, and preparations",339.80
2017,AL,FL,5,"Meat, poultry, fish, seafood, and preparations",348.64
2012,AL,FL,6,Milled grain products and preparations and bakery products,21.34
2017,AL,FL,6,Milled grain products and preparations and bakery products,20.85
2012,AL,FL,7,Other prepared foodstuffs and preparations,371.04
2017,AL,FL,7,Other prepared foodstuffs and preparations,361.62
2012,AL,GA,1,Animals & fish (live),131.74
2017,AL,GA,1,Animals & fish (live),139.66
2012,AL,GA,2,Cereal grains and seed,0.30
2017,AL,GA,2,Cereal grains and seed,0.30
2012,AL,GA,3,"Agricultural products (excl. feed, grains, and forage)",171.75
2017,AL,GA,3,"Agricultural products (excl. feed, grains, and forage)",176.39
2012,AL,GA,4,"Animal feed, eggs, honey, other products of animal origin",187.75
2017,AL,GA,4,"Animal feed, eggs, honey, other products of animal origin",206.58
2012,AL,GA,5,"Meat, poultry, fish, seafood, and preparations",402.59
2017,AL,GA,5,"Meat, poultry, fish, seafood, and preparations",413.07
2012,AL,GA,6,Milled grain products and preparations and bakery products,10.08
2017,AL,GA,6,Milled grain products and preparations and bakery products,9.85
2012,AL,GA,7,Other prepared foodstuffs and preparations,1497.21
2017,AL,GA,7,Other prepared foodstuffs and preparations,1459.20
2012,AL,IA,5,"Meat, poultry, fish, seafood, and preparations",54.05
2017,AL,IA,5,"Meat, poultry, fish, seafood, and preparations",55.46
2012,AL,IA,7,Other prepared foodstuffs and preparations,5.31
2017,AL,IA,7,Other prepared foodstuffs and preparations,5.17
2012,AL,ID,5,"Meat, poultry, fish, seafood, and preparations",0.01
2017,AL,ID,5,"Meat, poultry, fish, seafood, and preparations",0.01
2012,AL,ID,7,Other prepared foodstuffs and preparations,0.81
2017,AL,ID,7,Other prepared foodstuffs and preparations,0.79
2012,AL,IL,3,"Agricultural products (excl. feed, grains, and forage)",1.15
2017,AL,IL,3,"Agricultural products (excl. feed, grains, and forage)",1.18
2012,AL,IL,5,"Meat, poultry, fish, seafood, and preparations",405.86
2017,AL,IL,5,"Meat, poultry, fish, seafood, and preparations",416.42
2012,AL,IL,7,Other prepared foodstuffs and preparations,17.36
2017,AL,IL,7,Other prepared foodstuffs and preparations,16.92
2012,AL,IN,3,"Agricultural products (excl. feed, grains, and forage)",0.00
2017,AL,IN,3,"Agricultural products (excl. feed, grains, and forage)",0.00
2012,AL,IN,5,"Meat, poultry, fish, seafood, and preparations",41.78
2017,AL,IN,5,"Meat, poultry, fish, seafood, and preparations",42.87
2012,AL,IN,7,Other prepared foodstuffs and preparations,33.12
2017,AL,IN,7,Other prepared foodstuffs and preparations,32.27
2012,AL,KS,1,Animals & fish (live),98.63
2017,AL,KS,1,Animals & fish (live),104.56
2012,AL,KS,3,"Agricultural products (excl. feed, grains, and forage)",0.09
2017,AL,KS,3,"Agricultural products (excl. feed, grains, and forage)",0.09
2012,AL,KS,5,"Meat, poultry, fish, seafood, and preparations",24.97
2017,AL,KS,5,"Meat, poultry, fish, seafood, and preparations",25.62
2012,AL,KS,7,Other prepared foodstuffs and preparations,0.04
2017,AL,KS,7,Other prepared foodstuffs and preparations,0.04
2012,AL,KY,3,"Agricultural products (excl. feed, grains, and forage)",9.42
2017,AL,KY,3,"Agricultural products (excl. feed, grains, and forage)",9.68
2012,AL,KY,4,"Animal feed, eggs, honey, other products of animal origin",2.90
2017,AL,KY,4,"Animal feed, eggs, honey, other products of animal origin",3.19
2012,AL,KY,5,"Meat, poultry, fish, seafood, and preparations",59.11
2017,AL,KY,5,"Meat, poultry, fish, seafood, and preparations",60.65
2012,AL,KY,6,Milled grain products and preparations and bakery products,3.05
2017,AL,KY,6,Milled grain products and preparations and bakery products,2.98
2012,AL,KY,7,Other prepared foodstuffs and preparations,75.17
2017,AL,KY,7,Other prepared foodstuffs and preparations,73.27
2012,AL,LA,1,Animals & fish (live),30.89
2017,AL,LA,1,Animals & fish (live),32.75
2012,AL,LA,2,Cereal grains and seed,1.52
2017,AL,LA,2,Cereal grains and seed,1.49
2012,AL,LA,3,"Agricultural products (excl. feed, grains, and forage)",11.92
2017,AL,LA,3,"Agricultural products (excl. feed, grains, and forage)",12.24
2012,AL,LA,4,"Animal feed, eggs, honey, other products of animal origin",1.10
2017,AL,LA,4,"Animal feed, eggs, honey, other products of animal origin",1.21
2012,AL,LA,5,"Meat, poultry, fish, seafood, and preparations",88.51
2017,AL,LA,5,"Meat, poultry, fish, seafood, and preparations",90.82
2012,AL,LA,6,Milled grain products and preparations and bakery products,7.07
2017,AL,LA,6,Milled grain products and preparations and bakery products,6.91
2012,AL,LA,7,Other prepared foodstuffs and preparations,393.73
2017,AL,LA,7,Other prepared foodstuffs and preparations,383.73
2012,AL,MA,5,"Meat, poultry, fish, seafood, and preparations",5.65
2017,AL,MA,5,"Meat, poultry, fish, seafood, and preparations",5.80
2012,AL,MA,7,Other prepared foodstuffs and preparations,0.01
2017,AL,MA,7,Other prepared foodstuffs and preparations,0.01
2012,AL,MD,5,"Meat, poultry, fish, seafood, and preparations",121.87
2017,AL,MD,5,"Meat, poultry, fish, seafood, and preparations",125.05
2012,AL,MD,7,Other prepared foodstuffs and preparations,25.79
2017,AL,MD,7,Other prepared foodstuffs and preparations,25.14
2012,AL,ME,5,"Meat, poultry, fish, seafood, and preparations",54.19
2017,AL,ME,5,"Meat, poultry, fish, seafood, and preparations",55.61
2012,AL,ME,7,Other prepared foodstuffs and preparations,0.01
2017,AL,ME,7,Other prepared foodstuffs and preparations,0.01
2012,AL,MI,5,"Meat, poultry, fish, seafood, and preparations",38.96
2017,AL,MI,5,"Meat, poultry, fish, seafood, and preparations",39.97
2012,AL,MI,7,Other prepared foodstuffs and preparations,117.74
2017,AL,MI,7,Other prepared foodstuffs and preparations,114.75
2012,AL,MN,5,"Meat, poultry, fish, seafood, and preparations",21.13
2017,AL,MN,5,"Meat, poultry, fish, seafood, and preparations",21.68
2012,AL,MN,7,Other prepared foodstuffs and preparations,22.15
2017,AL,MN,7,Other prepared foodstuffs and preparations,21.58
2012,AL,MO,5,"Meat, poultry, fish, seafood, and preparations",75.06
2017,AL,MO,5,"Meat, poultry, fish, seafood, and preparations",77.01
2012,AL,MO,7,Other prepared foodstuffs and preparations,26.89
2017,AL,MO,7,Other prepared foodstuffs and preparations,26.20
2012,AL,MS,1,Animals & fish (live),191.89
2017,AL,MS,1,Animals & fish (live),203.42
2012,AL,MS,2,Cereal grains and seed,4.23
2017,AL,MS,2,Cereal grains and seed,4.16
2012,AL,MS,3,"Agricultural products (excl. feed, grains, and forage)",71.34
2017,AL,MS,3,"Agricultural products (excl. feed, grains, and forage)",73.27
2012,AL,MS,4,"Animal feed, eggs, honey, other products of animal origin",118.91
2017,AL,MS,4,"Animal feed, eggs, honey, other products of animal origin",130.83
2012,AL,MS,5,"Meat, poultry, fish, seafood, and preparations",272.78
2017,AL,MS,5,"Meat, poultry, fish, seafood, and preparations",279.88
2012,AL,MS,6,Milled grain products and preparations and bakery products,26.27
2017,AL,MS,6,Milled grain products and preparations and bakery products,25.67
2012,AL,MS,7,Other prepared foodstuffs and preparations,333.31
2017,AL,MS,7,Other prepared foodstuffs and preparations,324.84
2012,AL,NC,1,Animals & fish (live),9.29
2017,AL,NC,1,Animals & fish (live),9.85
2012,AL,NC,3,"Agricultural products (excl. feed, grains, and forage)",14.88
2017,AL,NC,3,"Agricultural products (excl. feed, grains, and forage)",15.29
2012,AL,NC,4,"Animal feed, eggs, honey, other products of animal origin",0.20
2017,AL,NC,4,"Animal feed, eggs, honey, other products of animal origin",0.22
2012,AL,NC,5,"Meat, poultry, fish, seafood, and preparations",228.29
2017,AL,NC,5,"Meat, poultry, fish, seafood, and preparations",234.23
2012,AL,NC,6,Milled grain products and preparations and bakery products,0.03
2017,AL,NC,6,Milled grain products and preparations and bakery products,0.03
2012,AL,NC,7,Other prepared foodstuffs and preparations,110.64
2017,AL,NC,7,Other prepared foodstuffs and preparations,107.83
2012,AL,NE,1,Animals & fish (live),98.00
2017,AL,NE,1,Animals & fish (live),103.89
2012,AL,NE,5,"Meat, poultry, fish, seafood, and preparations",6.30
2017,AL,NE,5,"Meat, poultry, fish, seafood, and preparations",6.46
2012,AL,NE,7,Other prepared foodstuffs and preparations,15.14
2017,AL,NE,7,Other prepared foodstuffs and preparations,14.76
2012,AL,NH,7,Other prepared foodstuffs and preparations,4.88
2017,AL,NH,7,Other prepared foodstuffs and preparations,4.75
2012,AL,NJ,5,"Meat, poultry, fish, seafood, and preparations",108.48
2017,AL,NJ,5,"Meat, poultry, fish, seafood, and preparations",111.31
2012,AL,NJ,6,Milled grain products and preparations and bakery products,1.00
2017,AL,NJ,6,Milled grain products and preparations and bakery products,0.98
2012,AL,NJ,7,Other prepared foodstuffs and preparations,23.69
2017,AL,NJ,7,Other prepared foodstuffs and preparations,23.08
2012,AL,NM,5,"Meat, poultry, fish, seafood, and preparations",1.91
2017,AL,NM,5,"Meat, poultry, fish, seafood, and preparations",1.96
2012,AL,NM,7,Other prepared foodstuffs and preparations,1.53
2017,AL,NM,7,Other prepared foodstuffs and preparations,1.49
2012,AL,NY,5,"Meat, poultry, fish, seafood, and preparations",19.22
2017,AL,NY,5,"Meat, poultry, fish, seafood, and preparations",19.72
2012,AL,NY,7,Other prepared foodstuffs and preparations,28.47
2017,AL,NY,7,Other prepared foodstuffs and preparations,27.74
2012,AL,OH,5,"Meat, poultry, fish, seafood, and preparations",233.71
2017,AL,OH,5,"Meat, poultry, fish, seafood, and preparations",239.80
2012,AL,OH,6,Milled grain products and preparations and bakery products,1.98
2017,AL,OH,6,Milled grain products and preparations and bakery products,1.93
2012,AL,OH,7,Other prepared foodstuffs and preparations,33.63
2017,AL,OH,7,Other prepared foodstuffs and preparations,32.77
2012,AL,OK,1,Animals & fish (live),5.95
2017,AL,OK,1,Animals & fish (live),6.31
2012,AL,OK,3,"Agricultural products (excl. feed, grains, and forage)",2.73
2017,AL,OK,3,"Agricultural products (excl. feed, grains, and forage)",2.80
2012,AL,OK,5,"Meat, poultry, fish, seafood, and preparations",14.00
2017,AL,OK,5,"Meat, poultry, fish, seafood, and preparations",14.36
2012,AL,OK,7,Other prepared foodstuffs and preparations,167.76
2017,AL,OK,7,Other prepared foodstuffs and preparations,163.50
2012,AL,OR,5,"Meat, poultry, fish, seafood, and preparations",5.04
2017,AL,OR,5,"Meat, poultry, fish, seafood, and preparations",5.17
2012,AL,OR,7,Other prepared foodstuffs and preparations,2.85
2017,AL,OR,7,Other prepared foodstuffs and preparations,2.77
2012,AL,PA,5,"Meat, poultry, fish, seafood, and preparations",127.66
2017,AL,PA,5,"Meat, poultry, fish, seafood, and preparations",130.98
2012,AL,PA,6,Milled grain products and preparations and bakery products,1.10
2017,AL,PA,6,Milled grain products and preparations and bakery products,1.08
2012,AL,PA,7,Other prepared foodstuffs and preparations,148.03
2017,AL,PA,7,Other prepared foodstuffs and preparations,144.27
2012,AL,RI,7,Other prepared foodstuffs and preparations,8.54
2017,AL,RI,7,Other prepared foodstuffs and preparations,8.33
2012,AL,SC,3,"Agricultural products (excl. feed, grains, and forage)",2.02
2017,AL,SC,3,"Agricultural products (excl. feed, grains, and forage)",2.08
2012,AL,SC,5,"Meat, poultry, fish, seafood, and preparations",96.73
2017,AL,SC,5,"Meat, poultry, fish, seafood, and preparations",99.25
2012,AL,SC,6,Milled grain products and preparations and bakery products,6.96
2017,AL,SC,6,Milled grain products and preparations and bakery products,6.80
2012,AL,SC,7,Other prepared foodstuffs and preparations,77.79
2017,AL,SC,7,Other prepared foodstuffs and preparations,75.82
2012,AL,TN,1,Animals & fish (live),46.13
2017,AL,TN,1,Animals & fish (live),48.90
2012,AL,TN,2,Cereal grains and seed,3.94
2017,AL,TN,2,Cereal grains and seed,3.87
2012,AL,TN,3,"Agricultural products (excl. feed, grains, and forage)",14.85
2017,AL,TN,3,"Agricultural products (excl. feed, grains, and forage)",15.25
2012,AL,TN,4,"Animal feed, eggs, honey, other products of animal origin",36.65
2017,AL,TN,4,"Animal feed, eggs, honey, other products of animal origin",40.32
2012,AL,TN,5,"Meat, poultry, fish, seafood, and preparations",107.24
2017,AL,TN,5,"Meat, poultry, fish, seafood, and preparations",110.04
2012,AL,TN,6,Milled grain products and preparations and bakery products,17.92
2017,AL,TN,6,Milled grain products and preparations and bakery products,17.52
2012,AL,TN,7,Other prepared foodstuffs and preparations,691.90
2017,AL,TN,7,Other prepared foodstuffs and preparations,674.33
2012,AL,TX,1,Animals & fish (live),227.18
2017,AL,TX,1,Animals & fish (live),240.82
2012,AL,TX,3,"Agricultural products (excl. feed, grains, and forage)",5.01
2017,AL,TX,3,"Agricultural products (excl. feed, grains, and forage)",5.14
2012,AL,TX,4,"Animal feed, eggs, honey, other products of animal origin",0.01
2017,AL,TX,4,"Animal feed, eggs, honey, other products of animal origin",0.01
2012,AL,TX,5,"Meat, poultry, fish, seafood, and preparations",711.10
2017,AL,TX,5,"Meat, poultry, fish, seafood, and preparations",729.62
2012,AL,TX,6,Milled grain products and preparations and bakery products,4.85
2017,AL,TX,6,Milled grain products and preparations and bakery products,4.74
2012,AL,TX,7,Other prepared foodstuffs and preparations,283.60
2017,AL,TX,7,Other prepared foodstuffs and preparations,276.40
2012,AL,UT,5,"Meat, poultry, fish, seafood, and preparations",32.80
2017,AL,UT,5,"Meat, poultry, fish, seafood, and preparations",33.66
2012,AL,UT,7,Other prepared foodstuffs and preparations,4.02
2017,AL,UT,7,Other prepared foodstuffs and preparations,3.92
2012,AL,VA,3,"Agricultural products (excl. feed, grains, and forage)",5.10
2017,AL,VA,3,"Agricultural products (excl. feed, grains, and forage)",5.24
2012,AL,VA,5,"Meat, poultry, fish, seafood, and preparations",118.63
2017,AL,VA,5,"Meat, poultry, fish, seafood, and preparations",121.71
2012,AL,VA,6,Milled grain products and preparations and bakery products,0.14
2017,AL,VA,6,Milled grain products and preparations and bakery products,0.14
2012,AL,VA,7,Other prepared foodstuffs and preparations,38.93
2017,AL,VA,7,Other prepared foodstuffs and preparations,37.94
2012,AL,WA,7,Other prepared foodstuffs and preparations,8.13
2017,AL,WA,7,Other prepared foodstuffs and preparations,7.92
2012,AL,WI,5,"Meat, poultry, fish, seafood, and preparations",66.56
2017,AL,WI,5,"Meat, poultry, fish, seafood, and preparations",68.30
2012,AL,WI,7,Other prepared foodstuffs and preparations,3.23
2017,AL,WI,7,Other prepared foodstuffs and preparations,3.15
2012,AL,WV,5,"Meat, poultry, fish, seafood, and preparations",13.23
2017,AL,WV,5,"Meat, poultry, fish, seafood, and preparations",13.58
2012,AL,WY,7,Other prepared foodstuffs and preparations,0.72
